UseCase,Namespace,Definition
"Consultar Estoque","",""
"Requisitar Produtos","",""
"Cadastrar Produto","",""
"Excluir Produto","",""
"Atualizar Estoque","",""
"Vender Produto","",""
"Login","",""
"Cadastrar Novo Cliente","",""
"Consultar Historico de Compras","",""
